uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,sampling_method,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
745156039,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,5,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,nan,nan,nan,nan
745156039,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,10,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,nan,nan,nan,nan
745156039,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,15,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,nan,nan,nan,nan
745156039,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,20,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,nan,nan,nan,nan
745156039,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,30,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,nan,nan,nan,nan
272354893,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7066006874504058,0.522945374015748,0.04771227732705229,0.044768830507282975
272354893,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8095111930049441,0.6243520341207349,0.052640713160498134,0.06192645194593173
272354893,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8110495635719953,0.6343791010498688,0.05193371574404132,0.04989674517250399
272354893,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8382582173594579,0.6657029199475066,0.034632934184786336,0.035535771318914194
272354893,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8544605116584265,0.6762344160104988,0.01520394450844231,0.017583032015130243
802425085,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,silver_4114,256,5,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7623747749191235,0.5945168963254593,0.02906942196793675,0.029352114745389336
802425085,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,silver_4114,256,10,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8161853178599768,0.644102690288714,0.0567921724957726,0.052561754297396276
802425085,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,silver_4114,256,15,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8534090215467252,0.6811310695538058,0.028657056548248166,0.02909387178536644
802425085,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,silver_4114,256,20,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8819731200024415,0.7144110892388452,0.013942198102620748,0.015824967144783215
802425085,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,silver_4114,256,30,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.893307944973448,0.7273458005249345,0.017496944293092558,0.022193822653380695
788340979,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel2,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.5252032519736213,0.37844264278821765,0.1559327895864285,0.12496662308150767
788340979,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel2,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.6096885351357746,0.4440428631700887,0.07646574718704965,0.06593085727034567
788340979,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel2,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7029752387399573,0.5274417081468823,0.05963463217097209,0.05661711460867571
788340979,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel2,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7205659162450349,0.5461738288062836,0.04591575533719903,0.04620867505166899
788340979,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel2,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7256656584597857,0.5501581803419598,0.034885112937097694,0.030839759183129856
924252660,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel3,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.5585135128048292,0.409675646801713,0.16595517452002886,0.1344898570627212
924252660,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel3,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.573052600956758,0.4134126288069197,0.11404227751809692,0.09250192995405349
924252660,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel3,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.6885149395103176,0.5124785654026309,0.04993807029562704,0.04819940539921501
924252660,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel3,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.7004733967282257,0.5276928146995693,0.03216262950158853,0.028032311540307303
924252660,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel3,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.7246054731592585,0.5488841653526663,0.03684544935616963,0.03269959337303177
370838810,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,silver_4210r,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,False,0.531276973294578,0.38628838729478954,0.13407635595000483,0.10539438355444386
370838810,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,silver_4210r,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,False,0.603001118555029,0.4378606853157786,0.10389903402667833,0.087903716578114
370838810,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,silver_4210r,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,False,0.6469576651470771,0.4822801428070024,0.12974615682349785,0.11437253469418748
370838810,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,silver_4210r,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,False,0.7285223902091355,0.5516633943840348,0.017096217800245568,0.017618614707604084
370838810,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,silver_4210r,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,False,0.7248750456245646,0.5468142336001517,0.035897543862470474,0.030936750684798064
428118701,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanxp_32,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,False,0.7465767678386132,0.5672654199475067,0.08174706626835171,0.0805305931768588
428118701,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanxp_32,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,False,0.8000720821754734,0.6198459218380491,0.04998835635929156,0.05014717410405314
428118701,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanxp_32,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,False,0.7905386872062503,0.6161745406824147,0.07025577341123687,0.06277728968478123
428118701,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanxp_32,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,False,0.8502944172312763,0.6769233923884515,0.012160087089394192,0.01407688191478611
428118701,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanxp_32,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,False,0.8558725126655681,0.6809219160104988,0.011086589613299662,0.014801410147368226
140409084,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titan_rtx_32,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7631893578709638,0.5838828740157481,0.0672452923198535,0.06213885320391753
140409084,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titan_rtx_32,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.80057424235488,0.6206979986876641,0.04489816432709835,0.04965330793254638
140409084,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titan_rtx_32,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8186815220045169,0.6423474409448819,0.03145455647881314,0.03504264238181864
140409084,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titan_rtx_32,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8486882362815112,0.6758899278215224,0.015654990001906094,0.020858508706698604
140409084,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titan_rtx_32,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8590630340902156,0.684727690288714,0.01424186859600847,0.01897316885453948
816757816,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.7416515976927303,0.5607734580052495,0.050409610789692805,0.04735669427721757
816757816,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.7699351080388207,0.5960958005249345,0.07150201457490146,0.06571531616121558
816757816,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.8018245856985899,0.6300114829396326,0.05950665249222893,0.056293737034690504
816757816,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.8524578640969297,0.6808111876640421,0.013948547785871254,0.015944336362698503
816757816,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,True,True,0.8486365439785143,0.6772514763779529,0.024703331468958492,0.0286815807855506
17439966,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6240,256,5,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7233321844722653,0.5541996848747419,0.042688110992125786,0.040276057671813886
17439966,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6240,256,10,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7267618113074003,0.5526961627561257,0.048434185811899746,0.05488398192909164
17439966,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6240,256,15,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7539348238376478,0.580421660278682,0.02668959509645471,0.029860602994077456
17439966,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6240,256,20,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.784548164358252,0.6161276447993277,0.01855522498874179,0.023322426165940775
17439966,study_6_6_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6240,256,30,adj_gin_arch2vec,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7770071095302861,0.6120987428779596,0.02646584133377034,0.030066664681474304
306635834,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,eyeriss,256,5,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7183110922907893,0.5497539370078741,0.08376787036093673,0.0783853020189343
306635834,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,eyeriss,256,10,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8023233878105354,0.6208292322834646,0.05242090347876732,0.0570330719186007
306635834,study_6_6_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,eyeriss,256,15,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8374138779527559,0.6612532808398952,0.022347827136644922,0.027526390177351423
